,geoid,LowIncomeTracts
5829,06037402403,1
5830,06037402404,0
5831,06037402405,1
5832,06037402406,1
5833,06037402501,1
5834,06037402502,1
5835,06037402600,1
5836,06037402702,1
5837,06037402703,0
5838,06037402705,0
5839,06037402706,0
5840,06037402801,1
5841,06037402803,1
5842,06037402804,1
5843,06037402902,1
5844,06037402903,1
5845,06037402904,1
5846,06037403000,1
5847,06037403200,1
5848,06037403303,0
5849,06037403304,0
5850,06037403305,0
5851,06037403312,0
5852,06037403316,0
5853,06037403317,0
5854,06037403318,0
5855,06037403319,0
5856,06037403320,0
5857,06037403321,0
5858,06037403322,0
5859,06037403323,0
5860,06037403324,0
5861,06037403325,0
5862,06037403401,0
5863,06037403402,0
5864,06037403403,0
5865,06037403404,0
5866,06037403405,0
5867,06037403406,0
5868,06037403407,0
5869,06037403408,0
5870,06037403500,0
5871,06037403600,0
5872,06037403702,0
5873,06037403703,0
5874,06037403721,0
5875,06037403722,1
5876,06037403801,0
5877,06037403802,0
5878,06037403901,0
5879,06037403902,0
5880,06037404000,0
5881,06037404100,0
5882,06037404201,1
5883,06037404202,1
5884,06037404301,1
5885,06037404302,0
5886,06037404401,0
5887,06037404402,0
5888,06037404501,1
5889,06037404503,1
5890,06037404504,1
5891,06037404600,0
5892,06037404701,0
5893,06037404702,1
5894,06037404703,1
5895,06037404801,1
5896,06037404802,1
5897,06037404803,0
5898,06037404901,1
5899,06037404902,0
5900,06037404903,1
5901,06037405001,1
5902,06037405002,0
5903,06037405101,1
5904,06037405102,1
5905,06037405201,1
5906,06037405202,1
5907,06037405203,0
5908,06037405301,1
5909,06037405302,0
5910,06037405400,0
5911,06037405500,0
5912,06037405600,0
5913,06037405701,1
5914,06037405702,0
5915,06037405800,0
5916,06037405900,0
5917,06037406000,0
5918,06037406101,1
5919,06037406102,1
5920,06037406200,0
5921,06037406300,0
5922,06037406402,0
5923,06037406411,0
5924,06037406412,0
5925,06037406500,0
5926,06037406601,0
5927,06037406602,0
5928,06037406701,0
5929,06037406702,1
5930,06037406800,0
5931,06037406901,1
5932,06037406902,0
5933,06037407001,1
5934,06037407002,0
5935,06037407101,1
5936,06037407102,1
5937,06037407200,1
5938,06037407301,0
5939,06037407302,1
5940,06037407400,0
5941,06037407501,0
5942,06037407502,1
5943,06037407601,1
5944,06037407602,1
5945,06037407701,1
5946,06037407702,0
5947,06037407801,0
5948,06037407802,0
5949,06037407900,0
5950,06037408003,0
5951,06037408004,0
5952,06037408005,0
5953,06037408006,1
5954,06037408133,0
5955,06037408134,0
5956,06037408135,0
5957,06037408136,0
5958,06037408137,0
5959,06037408138,1
5960,06037408139,0
5961,06037408140,0
5962,06037408141,0
5963,06037408202,1
5964,06037408211,1
5965,06037408212,0
5966,06037408301,1
5967,06037408302,0
5968,06037408303,0
5969,06037408401,0
5970,06037408402,0
5971,06037408501,0
5972,06037408503,0
5973,06037408504,0
5974,06037408505,0
5975,06037408623,1
5976,06037408624,0
5977,06037408625,0
5978,06037408626,0
5979,06037408627,0
5980,06037408628,0
5981,06037408629,0
5982,06037408630,1
5983,06037408631,0
5984,06037408703,0
5985,06037408704,0
5986,06037408705,0
5987,06037408706,0
5988,06037408722,0
5989,06037408723,1
5990,06037408724,1
5991,06037408800,1
5992,06037430002,0
5993,06037430003,0
5994,06037430101,0
5995,06037430102,0
5996,06037430200,0
5997,06037430301,0
5998,06037430302,0
5999,06037430400,0
6000,06037430501,0
6001,06037430502,0
6002,06037430600,0
6003,06037430701,0
6004,06037430721,0
6005,06037430723,0
6006,06037430724,0
6007,06037430801,0
6008,06037430802,0
6009,06037430803,0
6010,06037430901,0
6011,06037430902,0
6012,06037431001,0
6013,06037431002,0
6014,06037431100,0
6015,06037431200,0
6016,06037431300,0
6017,06037431400,0
6018,06037431501,0
6019,06037431502,0
6020,06037431600,0
6021,06037431700,0
6022,06037431800,0
6023,06037431900,0
6024,06037432000,0
6025,06037432101,0
6026,06037432102,0
6027,06037432201,1
6028,06037432202,1
6029,06037432300,0
6030,06037432401,1
6031,06037432402,1
6032,06037432500,1
6033,06037432601,1
6034,06037432602,1
6035,06037432700,1
6036,06037432801,1
6037,06037432802,1
6038,06037432901,0
6039,06037432902,0
6040,06037433101,0
6041,06037433102,1
6042,06037433200,1
6043,06037433302,1
6044,06037433304,1
6045,06037433305,1
6046,06037433306,1
6047,06037433307,0
6048,06037433401,1
6049,06037433402,1
6050,06037433403,1
6051,06037433501,1
6052,06037433503,1
6053,06037433504,1
6054,06037433601,0
6055,06037433602,1
6056,06037433700,1
6057,06037433801,1
6058,06037433802,0
6059,06037433901,1
6060,06037433902,1
6061,06037434001,1
6062,06037434003,1
6063,06037434004,0
6064,06037460000,0
6065,06037460100,0
6066,06037460200,0
6067,06037460301,0
6068,06037460302,0
6069,06037460401,0
6070,06037460501,0
6071,06037460502,0
6072,06037460600,0
6073,06037460700,0
6074,06037460800,0
6075,06037460900,1
6076,06037461000,1
6077,06037461100,0
6078,06037461200,0
6079,06037461300,0
6080,06037461400,0
6081,06037461501,0
6082,06037461502,1
6083,06037461600,1
6084,06037461700,0
6085,06037461901,1
6086,06037461902,1
6087,06037462001,1
6088,06037462002,1
6089,06037462100,1
6090,06037462201,1
6091,06037462202,1
6092,06037462301,1
6093,06037462302,0
6094,06037462400,0
6095,06037462500,0
6096,06037462600,0
6097,06037462700,0
6098,06037462800,0
6099,06037462900,0
6100,06037463000,0
6101,06037463101,0
6102,06037463102,0
6103,06037463200,0
6104,06037463300,0
6105,06037463400,0
6106,06037463500,0
6107,06037463601,0
6108,06037463602,0
6109,06037463700,0
6110,06037463800,0
6111,06037463900,0
6112,06037464000,0
6113,06037464100,0
6114,06037464200,0
6115,06037480002,0
6116,06037480011,0
6117,06037480012,0
